,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
34,Wake Forest,117.41596737837568,100.6949330865042,16.1,30.2,32.9,53.6,16.72103429187149,3.6473309180416082,2024-02-04
28,Oklahoma,113.3314729579412,96.47413916658434,18.2,31.8,28.2,55.0,16.857333791356865,3.6460736127276876,2024-02-04
50,Butler,117.16433217009885,102.26516816774289,14.000000000000002,22.9,31.6,52.1,14.89916400235596,3.630340041437135,2024-02-04
36,Clemson,118.72235179532808,101.9463904149871,14.8,32.5,33.9,54.3,16.775961380340974,3.625186442007993,2024-02-04
30,Colorado,115.33254641490952,98.25858578014576,18.3,29.8,33.5,53.6,17.07396063476375,3.4824159872058864,2024-02-04
38,Villanova,113.50110531579412,97.7043380616952,14.7,28.7,33.0,50.7,15.796767254098924,3.3639780250003426,2024-02-04
33,SMU,112.43391480629585,96.37244017644636,17.4,31.6,27.9,51.6,16.061474629849485,3.235699524208187,2024-02-04
48,Florida Atlantic,118.45188814845838,103.19673652790152,16.2,25.6,33.3,56.6,15.255151620556859,3.2244424885396836,2024-02-04
45,Colorado St.,117.17609701634277,101.85081398632556,14.6,28.4,34.8,58.4,15.325283030017204,3.2082226483104943,2024-02-04
31,Mississippi St.,112.67991725917662,96.26670692184754,18.9,31.6,28.7,53.5,16.413210337329076,3.191258305770736,2024-02-04
46,Mississippi,118.91354445923383,103.36982725920652,14.8,29.2,32.6,49.3,15.543717200027316,3.1360674920166636,2024-02-04
53,Miami FL,116.0817254562988,101.74324347422774,17.5,20.6,30.2,54.5,14.338481982071059,3.0993740090633475,2024-02-04
35,Boise St.,113.5040335915228,97.36068336141912,17.4,32.800000000000004,29.0,50.6,16.143350230103678,3.0554436403632437,2024-02-04
43,Utah St.,115.0407320486822,99.72866957708338,16.1,32.2,28.8,57.8,15.312062471598821,3.0548581076752797,2024-02-04
37,TCU,116.9583054395272,100.5208546983832,17.9,33.2,32.5,54.1,16.43745074114399,2.938444952097834,2024-02-04
49,Nebraska,116.70870456491298,101.7980326258083,16.1,25.6,32.7,51.7,14.910671939104674,2.932109882853849,2024-02-04
40,South Carolina,113.7487876289146,98.42018604213442,16.0,30.7,32.2,51.0,15.32860158678018,2.74599696793591,2024-02-04
39,Cincinnati,111.1887849925484,96.13877634969565,16.7,28.6,32.8,50.9,15.05000864285276,2.6038052721401828,2024-02-04
52,Ohio St.,116.99867079791996,102.45188361958668,15.3,26.6,35.7,50.7,14.546787178333275,2.4810401787832976,2024-02-04
47,Washington St.,114.30189001830811,99.38423376263115,14.9,33.6,32.7,53.8,14.91765625567696,2.452970315962946,2024-02-04
42,Xavier,114.90946445168112,99.50655487361388,16.5,31.7,33.3,48.3,15.402909578067238,2.444824842621014,2024-02-04
51,Virginia,107.76487445758184,94.2375651530682,13.900000000000002,25.4,32.2,48.1,13.527309304513636,2.408558675753317,2024-02-04
57,Iowa,117.58151449353144,103.74726333877842,13.3,30.3,33.6,53.5,13.83425115475302,2.288443204399341,2024-02-04
41,Northwestern,117.7915459388306,101.93148877471666,13.8,40.9,36.1,52.3,15.86005716411394,2.2130848701095034,2024-02-04
44,Bradley,116.29107720197176,101.06128176086044,18.0,34.4,33.6,56.5,15.229795441111321,2.0567752190779047,2024-02-04
59,Drake,113.3323537967934,100.058370975166,13.900000000000002,30.8,32.7,56.3,13.2739828216274,1.9551295211927122,2024-02-04
56,Nevada,112.26215731424782,98.60666948341915,14.099999999999998,32.300000000000004,31.9,52.1,13.655487830828662,1.9519975768054836,2024-02-04
55,Virginia Tech,113.31043488886267,99.4594912811146,17.4,29.2,33.4,54.4,13.850943607748079,1.7556756007263286,2024-02-04
70,Princeton,116.00993260269033,104.77539850365972,13.4,23.6,33.0,57.0,11.234534099030611,1.4652658004086727,2024-02-04
54,Seton Hall,113.440167796382,99.48445214245912,19.4,28.1,33.8,50.6,13.95571565392288,1.4404365488929558,2024-02-04
68,Richmond,107.22373774650111,96.10519612392012,12.8,26.200000000000003,29.9,51.7,11.118541622580992,1.3412103897744043,2024-02-04
60,Providence,106.52689722369304,94.09088923604288,18.4,27.500000000000004,31.6,55.8,12.436007987650157,1.0695148724665948,2024-02-04
61,Oregon,115.80416841572998,102.9041273846355,15.1,33.6,35.4,52.0,12.900041031094474,0.9186250289676288,2024-02-04
63,Texas A&M,112.22463231206366,100.01267739095482,14.4,31.3,34.0,47.0,12.211954921108841,0.7935425018763926,2024-02-04
67,Georgia,111.6681834786578,100.00797663932426,16.3,28.4,31.8,48.6,11.66020683933354,0.6329261719934587,2024-02-04
71,Pittsburgh,110.82545077716352,100.20523812772066,14.499999999999998,28.9,30.1,50.3,10.620212649442863,0.44117971616014673,2024-02-04
66,Washington,116.26187379617602,104.06429392853111,16.1,34.5,33.9,54.5,12.197579867644905,0.4329737192633918,2024-02-04
74,Yale,111.3891904037811,100.97234559256376,14.3,27.700000000000003,34.5,51.1,10.416844811217345,0.1349253348425803,2024-02-04
64,Louisiana Tech,109.66143496923442,97.7380008555972,19.0,31.0,32.3,48.6,11.923434113637214,0.05679480931870029,2024-02-04
58,UCF,104.9783599873449,92.65740858843216,18.8,36.4,33.1,47.0,12.32095139891274,-0.2840196466632292,2024-02-04
62,North Texas,109.32559248139476,97.4058172619035,18.9,36.7,31.3,47.7,11.919775219491271,-0.40858711611032517,2024-02-04
73,St. Bonaventure,111.88845123795976,101.2347889426473,15.9,35.099999999999994,31.6,51.3,10.653662295312458,-0.4433159998594005,2024-02-04
65,Maryland,105.1712576344895,94.08477025884656,18.0,32.0,33.9,49.0,11.086487375642946,-0.4952427008578033,2024-02-04
94,Appalachian St.,106.79820556304456,98.77274413112708,15.1,21.0,31.9,54.3,8.025461431917478,-0.52776852653034,2024-02-04
81,Saint Joseph's,113.43679264363224,103.72140324723529,16.400000000000002,29.8,32.4,52.9,9.715389396396958,-0.620112468197856,2024-02-04
69,LSU,111.00683229306154,100.01908596815828,18.3,34.2,33.1,52.2,10.987746324903256,-0.651574741809015,2024-02-04
87,Charlotte,110.3817550405707,101.30778408594604,15.4,30.2,30.0,53.1,9.073970954624656,-0.6827777176789604,2024-02-04
86,Boston College,114.64803646221176,105.20934329484209,15.0,28.4,35.4,52.1,9.438693167369678,-0.6867971679044966,2024-02-04
72,Grand Canyon,111.20055461336938,100.55222485627864,18.6,33.6,31.9,53.0,10.648329757090735,-0.732918848174652,2024-02-04
82,James Madison,109.7073401665266,100.34032607013688,14.7,35.8,28.9,54.5,9.367014096389724,-0.7800214012022681,2024-02-04
78,North Carolina St.,109.78780673961256,99.85145746605598,13.8,36.1,34.2,49.4,9.936349273556587,-0.8865769431304826,2024-02-04
83,Syracuse,106.75036275755656,97.66540435954478,16.7,26.8,32.9,49.8,9.084958398011779,-0.9075753772128157,2024-02-04
92,UNLV,113.33136081000428,104.4197285497338,14.7,29.5,34.3,53.7,8.91163226027048,-0.9247543212350073,2024-02-04
89,Stanford,111.51265392751084,102.67656246591116,17.8,24.7,34.1,53.5,8.836091461599679,-1.0328342084241968,2024-02-04
85,Minnesota,109.26710026241928,100.21691279038006,18.2,28.000000000000004,33.7,56.8,9.050187472039212,-1.1469856420560813,2024-02-04
84,Indiana,111.1212432588506,101.90843048858082,17.2,31.4,34.1,53.5,9.212812770269778,-1.3286842101354348,2024-02-04
77,San Francisco,109.43426587846096,99.45825242842248,18.2,36.8,33.8,58.3,9.97601345003848,-1.3680317954765269,2024-02-04
76,Samford,114.190310454287,103.71599753315088,18.6,36.5,35.9,54.5,10.474312921136118,-1.3852191181069682,2024-02-04
88,Michigan,115.22699796781086,105.88805125235152,17.9,29.7,35.8,52.0,9.338946715459343,-1.3913925035698007,2024-02-04
90,Penn St.,111.20787861549354,102.43466787777204,15.1,35.6,30.9,52.1,8.773210737721499,-1.4227414499898863,2024-02-04
75,Kansas St.,106.78487465434787,96.87778583097528,21.5,31.1,31.5,52.2,9.90708882337259,-1.4305258177427207,2024-02-04
80,UC Irvine,107.12664327766296,97.6271512380508,17.9,34.0,32.4,50.6,9.499492039612164,-1.4655098558365804,2024-02-04
99,UC San Diego,112.91750303243322,105.32350503669402,14.2,28.000000000000004,34.8,52.1,7.593997995739201,-1.5922612225990875,2024-02-04
98,Cornell,114.364788081245,106.63925949838588,17.9,31.4,32.2,63.7,7.725528582859113,-1.8955275644559415,2024-02-04
91,VCU,109.52498255231863,100.90620082752108,18.5,36.0,28.3,51.1,8.618781724797557,-1.9475431478734904,2024-02-04
101,McNeese St.,112.14128398886234,104.66633224492018,13.900000000000002,31.4,35.3,50.6,7.474951743942157,-2.0173794361952844,2024-02-04
79,Florida St.,108.57671713220122,98.78166649887748,16.7,44.6,33.0,50.2,9.79505063332374,-2.13471911367252,2024-02-04
109,Vermont,107.58867203829372,101.85028150511404,13.7,25.1,32.8,54.4,5.7383905331796825,-2.140031774760393,2024-02-04
93,USC,111.1995321930427,102.4805195718898,19.0,31.5,35.7,50.6,8.719012621152899,-2.156652301096732,2024-02-04
95,Memphis,111.70318149633096,103.62074646944396,18.6,30.4,34.1,52.4,8.082435026886998,-2.1929146335989325,2024-02-04
103,Akron,108.57950900517892,101.43620379241396,17.4,29.9,31.8,55.2,7.1433052127649574,-2.249433820213376,2024-02-04
96,Massachusetts,112.52186561699617,104.38572425009129,15.7,39.900000000000006,34.4,53.0,8.13614136690488,-2.5672037661880225,2024-02-04
102,George Mason,109.84436863080762,102.52908568162589,16.900000000000002,32.1,35.0,51.9,7.315282949181736,-2.621227400999141,2024-02-04
104,California,110.95070062511564,103.71478401933268,16.3,32.6,35.4,49.2,7.235916605782961,-2.7285908704723942,2024-02-04
105,Southern Illinois,109.90742618938332,103.05512934670692,18.0,34.5,29.1,53.0,6.852296842676395,-2.8078489259674004,2024-02-04
111,Murray St.,109.09536643492854,103.60138698653348,14.000000000000002,27.3,35.1,51.5,5.493979448395052,-2.816222536479019,2024-02-04
108,UNC Wilmington,114.2270791641798,108.05772261539288,12.6,34.599999999999994,36.0,49.7,6.169356548786922,-2.977592505239977,2024-02-04
97,Duquesne,106.54308600801346,99.28683660906712,17.2,35.9,33.3,49.2,7.256249398946338,-3.0079378666427337,2024-02-04
114,Drexel,108.07686324631116,102.79065638545086,17.1,27.9,30.5,50.6,5.286206860860304,-3.178863814875215,2024-02-04
100,Loyola Chicago,103.8945513489737,96.93436954470867,19.1,33.900000000000006,35.2,52.3,6.960181804265034,-3.379739099398331,2024-02-04
107,Rutgers,97.95888427725951,92.27842892545738,16.900000000000002,30.7,31.3,43.9,5.680455351802138,-3.4315722354006963,2024-02-04
125,Tulane,112.4207458765866,108.03566850502362,13.900000000000002,31.1,33.1,57.0,4.385077371562971,-3.5061528033465885,2024-02-04
121,College of Charleston,113.373788403909,108.57750322179764,14.6,30.1,34.9,53.6,4.796285182111362,-3.525416038912069,2024-02-04
110,Oklahoma St.,105.79426525659478,100.43538606782784,19.1,26.8,33.7,51.4,5.358879188766949,-3.599683694852162,2024-02-04
115,Western Carolina,108.79967316802134,103.58155682673792,14.3,32.9,35.4,49.6,5.2181163412834195,-3.6394990318171137,2024-02-04
116,Youngstown St.,109.08106305296464,103.89078449482564,15.8,32.1,34.6,52.3,5.190278558138999,-3.688680079535211,2024-02-04
106,UCLA,104.38997024182386,98.31391043296468,17.599999999999998,35.6,32.8,45.1,6.076059808859185,-3.8500035165958977,2024-02-04
128,Liberty,110.00771910801224,105.88600440259889,14.9,32.9,32.1,55.0,4.121714705413353,-3.9831040296978544,2024-02-04
127,St. Thomas,108.32406931238134,104.25614159705091,15.4,30.4,33.6,55.1,4.067927715330427,-3.983164093648439,2024-02-04
129,Arizona St.,103.07147764812196,99.29770424204024,14.6,29.1,32.6,48.7,3.773773406081716,-4.018648222290153,2024-02-04
118,High Point,116.56674363234563,111.29894139694775,15.9,35.8,35.4,53.9,5.26780223539788,-4.020140636407293,2024-02-04
120,Northern Iowa,108.28393937995388,103.65324544287792,16.0,31.4,34.8,51.9,4.630693937075961,-4.026176698383663,2024-02-04
112,Morehead St.,108.99943247207244,103.57417813851728,18.8,35.8,31.3,55.4,5.425254333555159,-4.038294856531354,2024-02-04
126,West Virginia,107.23372750310917,103.0999720933396,17.299999999999997,26.6,33.3,46.7,4.133755409769563,-4.134909200040566,2024-02-04
119,Georgia Tech,111.20138625252775,106.31006165155642,17.4,33.2,32.3,49.1,4.8913246009713305,-4.154691993407488,2024-02-04
124,South Florida,108.96050269916876,104.68500156185326,15.8,34.1,31.7,49.7,4.275501137315501,-4.279694306237545,2024-02-04
117,Louisiana Lafayette,108.32703172548116,103.39053560367395,17.5,40.9,27.0,51.7,4.93649612180721,-4.361887365697601,2024-02-04
113,Seattle,105.79313347521916,100.58780318887784,19.1,38.9,28.9,50.3,5.205330286341322,-4.473698525331793,2024-02-04
132,Davidson,105.45583488686734,101.98726510104194,16.1,30.0,33.4,51.0,3.4685697858253945,-4.53597243064651,2024-02-04
138,Delaware,107.98516752556742,105.50084643199716,15.3,28.8,32.0,53.0,2.4843210935702587,-4.717764132922143,2024-02-04
122,Eastern Washington,109.72010781476304,105.1009038208396,19.7,34.599999999999994,33.6,56.1,4.619203993923435,-4.731985563706704,2024-02-04
131,UNC Greensboro,109.7331227345682,105.97666532989712,15.4,35.6,32.3,49.2,3.7564574046710817,-4.732360983150641,2024-02-04
123,Arkansas,106.94977324170624,102.71065852780488,16.400000000000002,34.8,35.7,50.2,4.239114713901358,-4.773140024520172,2024-02-04
142,Weber St.,108.91014687767525,106.78151502572432,14.9,28.8,33.3,53.2,2.128631851950928,-4.965534570309934,2024-02-04
139,Oakland,109.88567631619328,107.3652926216061,16.5,27.4,34.8,51.4,2.5203836945871814,-5.038465946301819,2024-02-04
148,Toledo,111.6048058465417,109.931646028491,15.3,25.1,34.0,52.3,1.6731598180506921,-5.047622510989078,2024-02-04
149,UMass Lowell,105.93662546694271,104.46183403581372,17.9,24.7,29.2,52.8,1.4747914311289918,-5.169027227011316,2024-02-04
130,Missouri,109.50630051103715,105.71707753713942,16.1,39.7,33.5,52.5,3.7892229738977363,-5.210323985922382,2024-02-04
140,Hofstra,107.48398063418207,105.17366289849544,16.2,30.1,34.8,54.9,2.3103177356866382,-5.26365618123115,2024-02-04
135,UAB,112.14084117893886,109.00502795924734,17.2,32.4,34.7,50.0,3.1358132196915136,-5.282153935988177,2024-02-04
146,Missouri St.,104.97858502365824,103.2009353268424,17.2,26.200000000000003,32.5,51.5,1.7776496968158426,-5.309933684942337,2024-02-04
144,Wichita St.,105.84633722349456,103.9713833485103,18.0,24.6,33.5,50.7,1.8749538749842571,-5.339378136259604,2024-02-04
134,Towson,104.94232527708384,101.79236806765644,18.8,31.2,32.4,44.2,3.1499572094273987,-5.420126102249288,2024-02-04
136,Winthrop,107.63589198844306,105.02489752876298,18.8,34.300000000000004,30.0,51.4,2.610994459680086,-5.630743379595149,2024-02-04
145,Wright St.,117.1784479769873,115.1503006603543,16.6,31.4,37.0,59.2,2.028147316632996,-5.671530136853873,2024-02-04
141,Western Kentucky,104.61306136654446,102.4806514169898,18.8,31.0,31.4,51.9,2.1324099495546562,-5.71112993077166,2024-02-04
137,Santa Clara,109.0325323724696,106.49572547284478,19.0,33.1,32.7,52.8,2.536806899624821,-5.7713977912288605,2024-02-04
152,Chattanooga,108.88311880991422,107.85479158304068,16.900000000000002,29.1,33.9,57.9,1.028327226873543,-5.907770391607139,2024-02-04
154,Quinnipiac,104.50310188950424,103.80096054661996,17.0,26.6,32.3,49.6,0.7021413428842749,-6.010793780840592,2024-02-04
153,Belmont,108.49230855699432,107.53385105751208,17.299999999999997,27.800000000000004,34.9,53.4,0.9584574994822361,-6.1110409253158355,2024-02-04
161,Furman,108.28924013463023,108.06874014147178,16.5,27.1,33.8,53.7,0.22049999315845525,-6.264345004173342,2024-02-04
133,Troy,106.93296064851576,103.7045504068627,19.4,38.2,36.2,46.5,3.228410241653066,-6.3625697525916305,2024-02-04
147,Notre Dame,99.13192490646576,97.62907077124726,20.8,26.9,34.1,47.8,1.5028541352184988,-6.386808977516716,2024-02-04
155,Montana,110.07477278820986,109.37791849239991,14.4,34.0,35.4,53.3,0.696854295809942,-6.406118879555937,2024-02-04
166,George Washington,106.07639095663814,106.40312216305452,18.0,21.4,33.5,49.9,-0.3267312064163832,-6.407206035913994,2024-02-04
150,UNC Asheville,108.73450923340602,107.36499631401222,17.9,35.2,31.5,49.4,1.3695129193937987,-6.500997119169782,2024-02-04
156,Bryant,100.73722536833466,100.2352343762056,15.5,36.0,29.7,51.0,0.5019909921290662,-6.50978549480127,2024-02-04
157,Loyola Marymount,107.60324768071264,107.18136276470032,17.599999999999998,29.3,31.9,48.3,0.42188491601231703,-6.5420002012324865,2024-02-04
160,South Dakota St.,107.6775072552432,107.4197665215795,17.299999999999997,29.4,36.9,55.0,0.2577407336636952,-6.8000781524651455,2024-02-04
158,Cal Baptist,103.81158358536467,103.43546823984664,16.900000000000002,31.7,33.0,45.9,0.3761153455180306,-6.836719639234002,2024-02-04
143,UC Davis,103.0735071114737,101.11596703372734,20.1,39.4,32.0,50.4,1.9575400777463585,-6.914600552574722,2024-02-04
163,UC Santa Barbara,107.7032669621699,107.73553935756658,19.8,31.1,30.5,54.5,-0.03227239539667437,-7.058936161191971,2024-02-04
175,Colgate,103.87787484503276,105.11273749213834,17.0,26.5,31.0,50.1,-1.2348626471055724,-7.0640162147344,2024-02-04
172,East Carolina,103.24352098391024,104.1266998121335,16.0,31.8,30.7,47.7,-0.8831788282232509,-7.225039085216182,2024-02-04
167,Ohio,109.1845734204233,109.7051154643641,14.099999999999998,36.7,33.5,52.0,-0.5205420439407931,-7.237780646803882,2024-02-04
176,Stony Brook,104.8748652471816,106.23143178645614,15.9,25.1,35.7,48.0,-1.3565665392745387,-7.261555588957469,2024-02-04
169,Wyoming,107.86497351932957,108.61986733677936,20.5,25.6,33.1,48.3,-0.7548938174497977,-7.4970852286443765,2024-02-04
168,Monmouth,105.9627652307428,106.65235158171356,16.400000000000002,32.9,34.0,46.3,-0.6895863509707567,-7.582997674092162,2024-02-04
183,Fairfield,107.25125660819688,109.17485972406068,16.7,27.700000000000003,32.1,50.7,-1.9236031158637985,-7.615947900676917,2024-02-04
159,Oregon St.,106.223173957829,105.94620383177757,19.1,38.0,31.4,49.5,0.2769701260514381,-7.619848223108624,2024-02-04
164,Iona,107.1834569836242,107.32358047953144,15.0,41.1,33.9,49.2,-0.14012349590724682,-7.684325332503421,2024-02-04
174,Tulsa,103.68899674264432,104.7043057122534,18.8,31.9,30.9,51.5,-1.0153089696090802,-7.68738847146154,2024-02-04
170,Georgetown,109.9953793536664,110.7908400856889,19.0,30.6,33.0,47.3,-0.7954607320225051,-7.759331046533728,2024-02-04
165,Arkansas St.,112.15807925575804,112.3694680155005,17.0,40.400000000000006,34.1,50.6,-0.21138875974246218,-7.972347143442902,2024-02-04
179,Eastern Kentucky,106.2577228402062,107.72071296797424,16.400000000000002,28.3,39.1,47.3,-1.4629901277680375,-8.002673977938503,2024-02-04
199,Harvard,103.48369118926814,106.52083505227507,17.4,25.6,32.2,51.6,-3.037143863006932,-8.197457756434229,2024-02-04
206,Lipscomb,110.2009876650904,114.03292949824336,14.9,23.5,36.1,55.3,-3.8319418331529675,-8.266934518223309,2024-02-04
180,Illinois Chicago,101.6909071966722,103.1705407247633,18.5,36.7,29.6,50.3,-1.4796335280910995,-8.30102645213557,2024-02-04
186,Rice,105.05354437400754,107.07420276947062,18.4,28.7,35.9,50.9,-2.020658395463073,-8.352251621232476,2024-02-04
187,Merrimack,96.90780028843368,98.78249865015812,19.1,33.300000000000004,31.3,52.8,-1.874698361724441,-8.38591600065191,2024-02-04
197,Penn,106.69047349163831,109.60826613828485,18.3,23.7,35.3,49.5,-2.9177926466465323,-8.409203514454385,2024-02-04
177,Kent St.,106.49297257997478,107.88895043381532,18.5,33.6,34.8,49.0,-1.3959778538405487,-8.415146490842735,2024-02-04
181,Long Beach St.,106.88043462989,108.66247421852869,18.0,33.0,34.9,50.4,-1.782039588638682,-8.476544149069596,2024-02-04
198,Bowling Green,105.3227981172832,108.39732130944296,15.5,28.000000000000004,36.6,51.5,-3.0745231921597593,-8.480459147217454,2024-02-04
173,Tarleton St.,105.53824858721728,106.53655882950272,18.3,36.8,35.3,48.5,-0.9983102422854415,-8.49316924779412,2024-02-04
171,Gardner Webb,103.79574078610769,104.58413772872537,15.1,44.7,34.3,48.0,-0.7883969426176805,-8.501172134996786,2024-02-04
194,Columbia,107.83904899715732,110.6762972803999,17.5,29.8,32.0,48.6,-2.837248283242573,-8.55902145277797,2024-02-04
195,La Salle,105.7218759222838,108.5632734077942,13.900000000000002,33.0,35.7,47.5,-2.8413974855103987,-8.584952466161342,2024-02-04
196,Northern Colorado,110.5615966226636,113.54618830318076,15.5,30.9,37.4,56.2,-2.9845916805171555,-8.619750925115465,2024-02-04
